study,author,year,tx_dur,tx_dose,tx_n,c_n,hedges,se,paradigm,measure,rodent,diseas,dis_pre,dis_tre
1,"Amorim, D.",2017,21,80,8,8,-1.031,0.542,Forced Swim Test,Latency to Immobility,rat,1,0,1
1,"Amorim, D.",2017,21,80,8,8,-2.516,0.716,Forced Swim Test,Immobility,rat,1,0,1
2,"Burke, N.",2014,1,80,8,9,-0.675,0.504,Open Field Test,Locomotion (distance in cm),rat,1,0,1
3,"Burke, N.",2014,15,,11,11,-1.32,0.48,Open Field Test,Locomotion (distance in cm),rat,1,0,1
4,"Chijiwa, T.",2015,5,50,6,5,0.068,0.606,Forced Swim Test,Immobility,rat,1,1,0
5,"Chijiwa, T.",2015,5,50,6,6,-2.39,0.8292,Forced Swim Test,Immobility,rat,1,1,0
6,"Deak, T.",2005,2,30,19,10,0.205,0.392,Forced Swim Test,Immobility,rat,0,0,0
7,"Henry, C.",2008,3,50,15,15,-0.749,0.38,Sucrose Preference Test,% preference,mice,0,0,0
8,"Henry, C.",2008,3,50,15,15,-1.725,0.4364,Sucrose Preference Test,% preference,mice,1,1,0
9,"Mahmoud, M.",2017,4,10,6,6,1.261,0.657,Sucrose Preference Test,% preference,mice,0,0,0
9,"Mahmoud, M.",2017,4,10,6,6,0.638,0.599,Forced Swim Test,Immobility,mice,0,0,0
10,"Mahmoud, M.",2017,4,10,6,5,-1.164,0.68,Sucrose Preference Test,% preference,mice,1,0,1
10,"Mahmoud, M.",2017,4,10,6,5,-1.806,0.773,Forced Swim Test,Immobility,mice,1,0,1
11,"Majidi, J.",2016,35,30,9,9,-0.34,0.476,Sucrose Preference Test,% preference,mice,0,0,0
11,"Majidi, J.",2016,35,30,9,9,-0.378,0.477,Tail Suspension Test,Immobility,mice,0,0,0
11,"Majidi, J.",2016,35,30,9,9,-0.902,0.501,Forced Swim Test,Immobility,mice,0,0,0
12,"Majidi, J.",2016,35,30,9,9,-1.04,0.511,Sucrose Preference Test,% preference,mice,1,0,1
12,"Majidi, J.",2016,35,30,9,9,-1.041,0.511,Tail Suspension Test,Immobility,mice,1,0,1
12,"Majidi, J.",2016,35,30,9,9,-1.58,0.558,Forced Swim Test,Immobility,mice,1,0,1
13,"McKim, D.",2016,6,90,6,6,-0.297,0.582,Social Interaction,Interaction,mice,1,1,0
14,"Molina-Hernandez, M.",2008a,1,63.3,21,7,-1.002,0.46,Forced Swim Test,Immobility,rat,0,0,0
15,"Molina-Hernandez, M.",2008b,1,55,14,7,-0.979,0.492,Forced Swim Test,Immobility,rat,0,0,0
16,"Nagpal, K. ",2013,1,100,12,6,-1.382,0.564,Tail Suspension Test,Immobility,mice,0,0,0
16,"Nagpal, K. ",2013,1,100,12,6,-0.44,0.507,Forced Swim Test,Immobility,mice,0,0,0
17,"Rinwa, P.",2013,14,37.5,24,12,-1.319,0.39,Open Field Test,Locomotion (# of sections crossed),rat,1,0,1
17,"Rinwa, P.",2013,14,37.5,24,12,-1.398,0.394,Forced Swim Test,Immobility,rat,1,0,1
