id,study_id,exp_id,test,measure,effect_direction,effect_direction_correction,n_ctrl,mean_ctrl,sd_ctrl,n_mino,mean_mino,sd_mino
1,Amorim_2017,Amorim_2017,Forced swim,latency to immobility,Auto,1,8,26.7111474,10.26112076,8,38.93738175,14.76682882
2,Amorim_2017,Amorim_2017,Forced swim,immobility,Flipped,-1,8,251.8750892,19.64295322,8,167.0188532,49.40169194
3,Arakawa_2012,Arakawa_2012_Group1,Conditioned avoidance,failure numbers,Flipped,-1,6,24.342,5.706086356,11,14.28136364,10.34713496
4,Arakawa_2012,Arakawa_2012_Group1,Conditioned avoidance,latency to escape,Flipped,-1,6,27.386,6.972472553,11,19.16340909,9.636772831
5,Arakawa_2012,Arakawa_2012_Group2,Conditioned avoidance,failure numbers,Flipped,-1,5,2.443,5.197740014,5,2.833,5.722097954
6,Arakawa_2012,Arakawa_2012_Group2,Conditioned avoidance,latency to escape,Flipped,-1,5,7.15,6.685843253,5,7.5,6.059744219
7,Burke_2014,Burke_2014_Group1,Open field,distance,Flipped,-1,7,1774.627314,729.8855931,7,1272.256349,1129.397403
8,Burke_2014,Burke_2014_Group2,Open field,distance,Flipped,-1,7,2481.963959,678.6685489,7,2121.047419,642.4921825
9,Burke_2014,Burke_2014_Group3,Open field,distance,Flipped,-1,7,3103.62505,1067.745391,7,2221.90549,384.1804619
10,Burke_2014,Burke_2014_Group4,Open field,distance,Flipped,-1,7,1895.573054,949.7453314,7,1628.176985,718.8280948
11,Chijiwa_2015,Chijiwa_2015_Group1,Forced swim,immobility,Flipped,-1,6,413.0809701,88.3875704,6,254.7358056,31.70006181
12,Chijiwa_2015,Chijiwa_2015_Group2,Forced swim,immobility,Flipped,-1,5,233.5956407,26.09056109,6,234.324612,27.68797396
13,Deak_2005,Deak_2005,Forced swim,immobility,Flipped,-1,9,34.00461682,11.42120118,18,36.36678193,11.77392978
14,Liu_2015,Liu_2015,Sucrose preference,% preference,Auto,1,4,41.25504938,10.5708299,4,46.93774691,16.09999177
15,Liu_2015,Liu_2015,Forced swim,immobility,Flipped,-1,4,44.42839595,21.46485726,4,41.39704335,11.87329087
16,Liu_2015,Liu_2015,Tail suspension,immobility,Flipped,-1,4,41.19690485,12.60182187,4,38.94505108,15.16796048
17,Mahmoud_2017,Mahmoud_2017_Group1,Forced swim,immobility,Flipped,-1,6,121.3447449,5.96522449,6,125.634102,7.893591837
18,Mahmoud_2017,Mahmoud_2017_Group1,Sucrose preference,% preference,Auto,1,6,71.472,8.498,6,71.5715,8.4115
19,Mahmoud_2017,Mahmoud_2017_Group2,Forced swim,immobility,Flipped,-1,5,242.8691122,26.54676531,5,186.6753469,30.83662245
20,Mahmoud_2017,Mahmoud_2017_Group2,Sucrose preference,% preference,Auto,1,6,62.983,4.7135,6,64.2715,4.4595
21,Majidi_2016,Majidi_2016_Group1,Sucrose preference,% preference,Auto,1,9,63.14612519,11.23762212,9,67.10333103,13.6574447
22,Majidi_2016,Majidi_2016_Group1,Tail suspension,immobility,Flipped,-1,9,104.2337476,22.4891877,9,94.45479338,25.54252524
23,Majidi_2016,Majidi_2016_Group1,Forced swim,immobility,Flipped,-1,9,134.2882542,28.02335593,9,115.2830508,17.68037288
24,Majidi_2016,Majidi_2016_Group2,Sucrose preference,% preference,Auto,1,9,45.21681106,15.30660369,9,59.47380722,11.87011751
25,Majidi_2016,Majidi_2016_Group2,Tail suspension,immobility,Flipped,-1,9,135.1694779,21.13782019,9,108.6455852,30.63286278
26,Majidi_2016,Majidi_2016_Group2,Forced swim,immobility,Flipped,-1,9,176.6427203,21.9909661,9,127.1358983,38.48494068
27,McKim_2016,McKim_2016,Social interaction,time in interaction zone,Auto,1,6,55.517,32.07,6,63.66044293,39.30580545
28,Molina-Hernández_2018a,Molina-Hernández_2018a,Forced swim,immobility,Flipped,-1,7,32.63,10.05385498,21,20.96666667,12.18262424
