Dropped,k_remaining,Pooled SMD [95% CI],Delta,% change
21,70,"-1.00 [-1.31, -0.70]",+0.071,+6.6%
20,69,"-1.02 [-1.33, -0.70]",+0.057,+5.3%
33,70,"-1.12 [-1.44, -0.80]",-0.046,-4.3%
9,69,"-1.12 [-1.44, -0.80]",-0.045,-4.2%
23,69,"-1.03 [-1.36, -0.71]",+0.041,+3.8%
29,68,"-1.11 [-1.44, -0.78]",-0.039,-3.6%
6,70,"-1.11 [-1.44, -0.78]",-0.038,-3.5%
35,69,"-1.11 [-1.44, -0.78]",-0.034,-3.2%
27,68,"-1.11 [-1.44, -0.77]",-0.033,-3.1%
37,69,"-1.11 [-1.44, -0.77]",-0.033,-3.1%
4,70,"-1.10 [-1.44, -0.77]",-0.029,-2.7%
18,69,"-1.05 [-1.38, -0.71]",+0.029,+2.7%
25,68,"-1.10 [-1.44, -0.77]",-0.028,-2.6%
19,69,"-1.05 [-1.38, -0.71]",+0.027,+2.5%
24,69,"-1.05 [-1.38, -0.71]",+0.027,+2.5%
5,70,"-1.05 [-1.38, -0.72]",+0.026,+2.4%
22,70,"-1.05 [-1.38, -0.72]",+0.024,+2.2%
30,68,"-1.05 [-1.39, -0.71]",+0.024,+2.2%
13,70,"-1.10 [-1.43, -0.76]",-0.021,-2.0%
8,70,"-1.06 [-1.39, -0.72]",+0.018,+1.7%
1,69,"-1.06 [-1.39, -0.72]",+0.017,+1.6%
11,68,"-1.09 [-1.43, -0.75]",-0.017,-1.6%
26,68,"-1.06 [-1.40, -0.72]",+0.016,+1.5%
7,70,"-1.09 [-1.43, -0.75]",-0.014,-1.3%
32,69,"-1.06 [-1.40, -0.72]",+0.014,+1.3%
2,70,"-1.09 [-1.43, -0.75]",-0.013,-1.2%
34,70,"-1.09 [-1.43, -0.74]",-0.011,-1.0%
10,69,"-1.07 [-1.40, -0.73]",+0.008,+0.7%
28,68,"-1.07 [-1.41, -0.73]",+0.007,+0.7%
16,69,"-1.08 [-1.42, -0.74]",-0.006,-0.6%
17,69,"-1.07 [-1.41, -0.73]",+0.006,+0.6%
3,70,"-1.07 [-1.41, -0.73]",+0.005,+0.4%
14,70,"-1.08 [-1.42, -0.74]",-0.005,-0.4%
15,70,"-1.08 [-1.42, -0.74]",-0.005,-0.5%
31,69,"-1.08 [-1.42, -0.74]",-0.005,-0.5%
39,70,"-1.08 [-1.42, -0.74]",-0.004,-0.4%
12,68,"-1.07 [-1.41, -0.73]",+0.002,+0.2%
36,69,"-1.08 [-1.42, -0.73]",-0.001,-0.0%
38,69,"-1.07 [-1.41, -0.73]",+0.001,+0.1%
