Dropped,k_remaining,Pooled SMD [95% CI],Delta,% change
Saravi_2016a_Group1,107,"-1.16 [-1.45, -0.87]",+0.047,+3.9%
Saravi_2016b_Group5,106,"-1.16 [-1.45, -0.88]",+0.044,+3.6%
Saravi_2016b_Group1,106,"-1.16 [-1.46, -0.87]",+0.043,+3.6%
Saravi_2016a_Group5,107,"-1.17 [-1.46, -0.88]",+0.040,+3.3%
Saravi_2016b_Group2,106,"-1.17 [-1.46, -0.88]",+0.040,+3.3%
Saravi_2016a_Group2,107,"-1.17 [-1.46, -0.88]",+0.039,+3.3%
Singh_2016_Group1,106,"-1.17 [-1.46, -0.88]",+0.038,+3.1%
Deak_2005,107,"-1.24 [-1.54, -0.94]",-0.028,-2.3%
Tong_2017_Group5,105,"-1.24 [-1.53, -0.94]",-0.028,-2.3%
Souza_2017_Group2,106,"-1.18 [-1.48, -0.88]",+0.027,+2.2%
Norden_2015_Group1,107,"-1.23 [-1.53, -0.93]",-0.026,-2.2%
Zheng_2015_Group1,106,"-1.23 [-1.53, -0.93]",-0.026,-2.1%
Mahmoud_2017_Group1,106,"-1.23 [-1.53, -0.93]",-0.025,-2.1%
O’Connor_2009_Group1,106,"-1.23 [-1.53, -0.93]",-0.025,-2.1%
Tong_2017_Group3,105,"-1.23 [-1.53, -0.93]",-0.025,-2.1%
Vogt_2016,106,"-1.23 [-1.53, -0.93]",-0.025,-2.1%
Xu_2017_Group1,106,"-1.23 [-1.53, -0.93]",-0.025,-2.1%
Tong_2017_Group1,105,"-1.23 [-1.53, -0.93]",-0.023,-1.9%
Arakawa_2012_Group2,106,"-1.23 [-1.53, -0.93]",-0.022,-1.8%
Chijiwa_2015_Group2,107,"-1.23 [-1.53, -0.93]",-0.022,-1.8%
Saravi_2016a_Group3,107,"-1.19 [-1.48, -0.89]",+0.022,+1.8%
Xie_2014_Group1,106,"-1.23 [-1.53, -0.93]",-0.022,-1.8%
Saravi_2016b_Group3,106,"-1.19 [-1.49, -0.89]",+0.021,+1.7%
Saravi_2016b_Group4,106,"-1.19 [-1.49, -0.89]",+0.021,+1.8%
Souza_2017_Group1,106,"-1.23 [-1.53, -0.93]",-0.021,-1.7%
Saravi_2016a_Group4,107,"-1.19 [-1.49, -0.89]",+0.020,+1.7%
McKim_2016,107,"-1.23 [-1.53, -0.92]",-0.019,-1.6%
Burke_2014_Group4,107,"-1.23 [-1.53, -0.92]",-0.018,-1.5%
Liu_2015,105,"-1.22 [-1.53, -0.92]",-0.016,-1.4%
Majidi_2016_Group1,105,"-1.22 [-1.53, -0.92]",-0.016,-1.3%
Rinwa_2013_Group2,106,"-1.19 [-1.49, -0.89]",+0.016,+1.4%
Burke_2014_Group1,107,"-1.22 [-1.53, -0.92]",-0.015,-1.2%
Burke_2014_Group2,107,"-1.22 [-1.53, -0.92]",-0.015,-1.2%
Chijiwa_2015_Group1,107,"-1.19 [-1.49, -0.89]",+0.015,+1.3%
Singh_2016_Group2,106,"-1.19 [-1.49, -0.89]",+0.015,+1.3%
Xie_2014_Group2,106,"-1.19 [-1.49, -0.89]",+0.015,+1.3%
Rinwa_2013_Group3,106,"-1.19 [-1.50, -0.89]",+0.014,+1.2%
Singh_2017_Group1,107,"-1.19 [-1.50, -0.89]",+0.014,+1.1%
Nagpal_2013,106,"-1.22 [-1.53, -0.92]",-0.013,-1.1%
Singh_2017_Group2,107,"-1.22 [-1.52, -0.92]",-0.013,-1.0%
Zheng_2014,106,"-1.20 [-1.50, -0.89]",+0.013,+1.0%
Tong_2017_Group6,105,"-1.20 [-1.50, -0.89]",+0.011,+0.9%
da Silva Dias_2016,107,"-1.22 [-1.52, -0.91]",-0.010,-0.9%
Molina-Hernández_2018a,107,"-1.22 [-1.52, -0.91]",-0.008,-0.7%
Molina-Hernández_2018b_Group2,107,"-1.22 [-1.52, -0.91]",-0.008,-0.7%
Wang_2017_Group1,106,"-1.22 [-1.52, -0.91]",-0.008,-0.6%
Arakawa_2012_Group1,106,"-1.21 [-1.52, -0.91]",-0.007,-0.6%
Xu_2017_Group2,106,"-1.21 [-1.52, -0.91]",-0.007,-0.6%
Burke_2014_Group3,107,"-1.21 [-1.52, -0.91]",-0.006,-0.5%
O’Connor_2009_Group2,106,"-1.20 [-1.51, -0.90]",+0.006,+0.5%
Molina-Hernández_2018b_Group1,107,"-1.21 [-1.52, -0.91]",-0.005,-0.4%
Tong_2017_Group2,105,"-1.20 [-1.51, -0.90]",+0.005,+0.4%
Zheng_2015_Group2,106,"-1.21 [-1.52, -0.91]",-0.005,-0.4%
Amorim_2017,106,"-1.20 [-1.51, -0.90]",+0.004,+0.4%
Mahmoud_2017_Group2,106,"-1.21 [-1.52, -0.91]",-0.004,-0.4%
Majidi_2016_Group2,105,"-1.21 [-1.52, -0.91]",-0.004,-0.3%
Norden_2015_Group2,107,"-1.21 [-1.52, -0.91]",-0.004,-0.3%
Wang_2017_Group2,106,"-1.20 [-1.51, -0.90]",+0.004,+0.4%
Rinwa_2013_Group1,106,"-1.21 [-1.52, -0.90]",-0.002,-0.1%
Tong_2017_Group4,105,"-1.21 [-1.51, -0.90]",-0.000,-0.0%
