Dropped,k_remaining,Pooled SMD [95% CI],Delta,% change
Saravi_2016a_Group1,64,"-0.98 [-1.32, -0.64]",+0.081,+7.7%
Saravi_2016a_Group2,64,"-0.99 [-1.34, -0.64]",+0.064,+6.0%
Saravi_2016a_Group5,64,"-0.99 [-1.34, -0.64]",+0.064,+6.1%
Souza_2017_Group2,63,"-1.01 [-1.37, -0.65]",+0.047,+4.4%
Deak_2005,64,"-1.10 [-1.47, -0.73]",-0.042,-3.9%
Tong_2017_Group5,62,"-1.10 [-1.47, -0.73]",-0.042,-4.0%
Saravi_2016a_Group3,64,"-1.02 [-1.38, -0.65]",+0.040,+3.7%
Mahmoud_2017_Group1,63,"-1.10 [-1.47, -0.72]",-0.038,-3.6%
O’Connor_2009_Group1,63,"-1.09 [-1.47, -0.72]",-0.037,-3.5%
Saravi_2016a_Group4,64,"-1.02 [-1.39, -0.65]",+0.037,+3.5%
Tong_2017_Group3,62,"-1.09 [-1.47, -0.72]",-0.037,-3.5%
Tong_2017_Group1,62,"-1.09 [-1.47, -0.71]",-0.033,-3.1%
Xie_2014_Group1,63,"-1.09 [-1.46, -0.72]",-0.032,-3.0%
Arakawa_2012_Group2,63,"-1.09 [-1.46, -0.71]",-0.031,-3.0%
Chijiwa_2015_Group2,64,"-1.09 [-1.46, -0.71]",-0.031,-3.0%
Souza_2017_Group1,63,"-1.09 [-1.46, -0.71]",-0.030,-2.8%
Chijiwa_2015_Group1,64,"-1.03 [-1.40, -0.66]",+0.029,+2.7%
Xie_2014_Group2,63,"-1.03 [-1.40, -0.66]",+0.029,+2.7%
McKim_2016,64,"-1.08 [-1.46, -0.71]",-0.027,-2.5%
Burke_2014_Group4,64,"-1.08 [-1.46, -0.71]",-0.025,-2.4%
Tong_2017_Group6,62,"-1.03 [-1.41, -0.66]",+0.025,+2.4%
Zheng_2014,63,"-1.03 [-1.40, -0.66]",+0.024,+2.3%
Majidi_2016_Group1,62,"-1.08 [-1.46, -0.70]",-0.022,-2.0%
Burke_2014_Group1,64,"-1.08 [-1.46, -0.70]",-0.020,-1.9%
Burke_2014_Group2,64,"-1.08 [-1.46, -0.70]",-0.019,-1.8%
O’Connor_2009_Group2,63,"-1.04 [-1.42, -0.66]",+0.016,+1.5%
Tong_2017_Group2,62,"-1.04 [-1.42, -0.66]",+0.015,+1.4%
Wang_2017_Group2,63,"-1.04 [-1.42, -0.67]",+0.013,+1.2%
Molina-Hernández_2018b_Group2,64,"-1.07 [-1.45, -0.68]",-0.008,-0.8%
Wang_2017_Group1,63,"-1.06 [-1.44, -0.68]",-0.008,-0.7%
Arakawa_2012_Group1,63,"-1.06 [-1.44, -0.68]",-0.006,-0.6%
Tong_2017_Group4,62,"-1.05 [-1.43, -0.67]",+0.005,+0.5%
Burke_2014_Group3,64,"-1.06 [-1.44, -0.68]",-0.004,-0.4%
Mahmoud_2017_Group2,63,"-1.06 [-1.44, -0.68]",-0.003,-0.2%
Molina-Hernández_2018b_Group1,64,"-1.06 [-1.44, -0.68]",-0.003,-0.3%
Majidi_2016_Group2,62,"-1.06 [-1.44, -0.68]",-0.000,-0.0%
