Dropped,k_remaining,Pooled SMD [95% CI],Delta,% change
Saravi_2016a_Group1,95,"-0.90 [-1.15, -0.66]",+0.051,+5.3%
Saravi_2016b_Group1,94,"-0.91 [-1.16, -0.66]",+0.046,+4.8%
Singh_2016_Group1,94,"-0.92 [-1.17, -0.66]",+0.037,+3.9%
Souza_2017_Group2,94,"-0.92 [-1.18, -0.67]",+0.030,+3.2%
Tong_2017_Group5,93,"-0.98 [-1.24, -0.72]",-0.027,-2.8%
Deak_2005,95,"-0.98 [-1.24, -0.72]",-0.026,-2.7%
Rinwa_2013_Group2,94,"-0.93 [-1.19, -0.67]",+0.024,+2.5%
Mahmoud_2017_Group1,94,"-0.98 [-1.24, -0.71]",-0.023,-2.4%
Norden_2015_Group1,95,"-0.98 [-1.24, -0.72]",-0.023,-2.5%
Xu_2017_Group1,94,"-0.98 [-1.24, -0.71]",-0.023,-2.4%
Zheng_2015_Group1,94,"-0.98 [-1.24, -0.71]",-0.023,-2.4%
O’Connor_2009_Group1,94,"-0.98 [-1.24, -0.71]",-0.022,-2.3%
Rinwa_2013_Group3,94,"-0.93 [-1.19, -0.67]",+0.022,+2.3%
Singh_2016_Group2,94,"-0.93 [-1.19, -0.67]",+0.022,+2.3%
Tong_2017_Group3,93,"-0.98 [-1.24, -0.71]",-0.022,-2.3%
Vogt_2016,94,"-0.98 [-1.24, -0.71]",-0.022,-2.3%
Chijiwa_2015_Group1,95,"-0.93 [-1.19, -0.67]",+0.020,+2.1%
Xie_2014_Group2,94,"-0.93 [-1.19, -0.67]",+0.020,+2.1%
Singh_2017_Group1,95,"-0.93 [-1.19, -0.67]",+0.019,+2.0%
Tong_2017_Group1,93,"-0.97 [-1.24, -0.71]",-0.019,-2.0%
Tong_2017_Group6,93,"-0.93 [-1.20, -0.67]",+0.019,+2.0%
Xie_2014_Group1,94,"-0.97 [-1.23, -0.71]",-0.019,-2.0%
Arakawa_2012_Group2,94,"-0.97 [-1.23, -0.71]",-0.018,-1.9%
Chijiwa_2015_Group2,95,"-0.97 [-1.23, -0.71]",-0.018,-1.9%
Souza_2017_Group1,94,"-0.97 [-1.23, -0.71]",-0.017,-1.8%
Zheng_2014,94,"-0.94 [-1.20, -0.67]",+0.017,+1.8%
McKim_2016,95,"-0.97 [-1.23, -0.70]",-0.015,-1.6%
Burke_2014_Group4,95,"-0.97 [-1.23, -0.70]",-0.014,-1.5%
Liu_2015,93,"-0.97 [-1.23, -0.70]",-0.013,-1.3%
O’Connor_2009_Group2,94,"-0.94 [-1.20, -0.68]",+0.013,+1.4%
Tong_2017_Group2,93,"-0.94 [-1.20, -0.68]",+0.013,+1.3%
Amorim_2017,94,"-0.94 [-1.21, -0.68]",+0.011,+1.1%
Majidi_2016_Group1,93,"-0.96 [-1.23, -0.70]",-0.011,-1.2%
Wang_2017_Group2,94,"-0.94 [-1.21, -0.68]",+0.011,+1.2%
Burke_2014_Group1,95,"-0.96 [-1.23, -0.70]",-0.010,-1.1%
Burke_2014_Group2,95,"-0.96 [-1.23, -0.70]",-0.010,-1.0%
Nagpal_2013,94,"-0.96 [-1.23, -0.70]",-0.008,-0.9%
Singh_2017_Group2,95,"-0.96 [-1.23, -0.70]",-0.008,-0.8%
Rinwa_2013_Group1,94,"-0.95 [-1.21, -0.68]",+0.007,+0.7%
Tong_2017_Group4,93,"-0.95 [-1.21, -0.68]",+0.007,+0.7%
da Silva Dias_2016,95,"-0.96 [-1.22, -0.69]",-0.005,-0.5%
Majidi_2016_Group2,93,"-0.95 [-1.22, -0.68]",+0.003,+0.3%
Molina-Hernández_2018b_Group1,95,"-0.95 [-1.22, -0.69]",+0.002,+0.2%
Molina-Hernández_2018b_Group2,95,"-0.96 [-1.22, -0.69]",-0.002,-0.2%
Norden_2015_Group2,95,"-0.95 [-1.22, -0.69]",+0.002,+0.2%
Wang_2017_Group1,94,"-0.96 [-1.22, -0.69]",-0.002,-0.2%
Arakawa_2012_Group1,94,"-0.95 [-1.22, -0.69]",-0.001,-0.1%
Mahmoud_2017_Group2,94,"-0.95 [-1.22, -0.69]",+0.001,+0.1%
Molina-Hernández_2018a,95,"-0.95 [-1.22, -0.69]",-0.001,-0.1%
Zheng_2015_Group2,94,"-0.95 [-1.22, -0.69]",+0.001,+0.2%
Burke_2014_Group3,95,"-0.95 [-1.22, -0.69]",+0.000,+0.0%
Xu_2017_Group2,94,"-0.95 [-1.22, -0.69]",+0.000,+0.0%
