Study,1) Sequence generation,2) Baseline characteristics,3) Allocation concealment,4) Random housing,5) Blinding caregivers,6) Random outcome assessment,7) Blinding outcome assessment,8) Incomplete outcome data,9) Selective outcome reporting,10) Other
"Amorim, 2017",0,0,0,0,-1,0,-1,-1,0,2
"Burke, 2014",0,0,0,0,0,0,0,0,0,0
"Chijiwa, 2015",0,-1,0,0,0,0,-1,0,0,0
"Deak, 2005",0,0,0,0,0,0,-1,1,0,0
"Mahmoud, 2017",0,-1,0,0,0,0,0,0,0,1
"Majidi, 2016",0,-1,0,0,0,0,-1,-1,0,-1
"McKim, 2016",0,0,0,0,0,0,0,1,1,-1
"Molina-Hernandez, 2008a",0,0,0,0,0,0,-1,2,0,0
"Molina-Hernandez, 2008b",0,0,0,0,0,0,-1,1,0,0
"Nagpal, 2013",0,-1,0,0,1,0,0,2,0,2
"Rinwa, 2013",0,0,0,0,1,0,-1,2,0,0
"Saravi, 2016a",0,0,0,0,0,0,0,0,0,1
"Saravi, 2016b",0,0,0,0,0,0,-1,1,0,1
"Singh, 2016",0,0,0,0,1,0,0,0,2,0
"Singh, 2017",0,0,0,0,1,0,-1,0,0,2
"Tong, 2017",0,0,0,0,0,0,0,0,0,1
"Wang, 2017",0,-1,0,0,0,0,0,-1,0,0
"Xu, 2017",0,-1,0,0,0,0,0,0,0,0
"Zheng, 2014",0,0,0,0,0,0,0,0,1,0
"Zheng, 2015",0,-1,0,0,1,0,0,0,2,2
